Sample,U238_ppm_mean,U238_ppm_2SE,Mg24_ppm_mean,Mg24_ppm_2SE,Al27_ppm_mean,Al27_ppm_2SE,Si28_ppm_mean,Si28_ppm_2SE,P31_ppm_mean,P31_ppm_2SE,Ca43_ppm_mean,Ca43_ppm_2SE,Fe56_ppm_mean,Fe56_ppm_2SE,Sr88_ppm_mean,Sr88_ppm_2SE,Y89_ppm_mean,Y89_ppm_2SE,Ba137_ppm_mean,Ba137_ppm_2SE,La139_ppm_mean,La139_ppm_2SE,Ce140_ppm_mean,Ce140_ppm_2SE,Pr141_ppm_mean,Pr141_ppm_2SE,Nd146_ppm_mean,Nd146_ppm_2SE,Sm147_ppm_mean,Sm147_ppm_2SE,Eu153_ppm_mean,Eu153_ppm_2SE,Gd157_ppm_mean,Gd157_ppm_2SE,Tb159_ppm_mean,Tb159_ppm_2SE,Dy163_ppm_mean,Dy163_ppm_2SE,Ho165_ppm_mean,Ho165_ppm_2SE,Er166_ppm_mean,Er166_ppm_2SE,Tm169_ppm_mean,Tm169_ppm_2SE,Yb172_ppm_mean,Yb172_ppm_2SE,Lu175_ppm_mean,Lu175_ppm_2SE,Ca44_CPS_mean,Ca44_CPS_2SE,Type
88,9,0,379,15,79,50,"2,947",322,"98,860","2,605","422,126","6,775","1,244",37,320,8,935,31,2,1,163,5,561,12,92,3,454,11,185,6,33,1,233,6,42,1,215,5,37,1,87,2,11,0,62,2,8,0,"3,345,970","89,233",PCD
89,18,1,304,14,284,53,"1,553",203,"115,718","1,507","434,993","5,506","1,050",29,305,4,726,24,0,0,109,4,491,18,86,3,445,16,151,6,29,1,157,5,26,1,155,6,29,1,72,3,10,0,65,3,8,0,"3,321,380","34,910",PCD
90,44,3,84,5,30,17,"4,120",250,"113,252","2,390","436,404","10,306",156,12,220,5,623,20,0,0,"1,236",29,"3,154",96,414,14,"1,516",36,281,8,14,1,230,9,25,1,123,4,21,1,53,2,6,0,33,1,5,0,"3,418,260","48,334",Barren
91,6,0,36,1,250,161,974,381,"103,973","2,035","454,885","7,625",71,24,184,6,311,18,1,0,587,88,"1,578",211,185,25,694,79,122,12,8,1,107,8,13,1,65,5,11,1,30,2,3,0,19,1,3,0,"3,530,440","56,900",Barren
92,36,1,43,1,2,0,"2,624",235,"100,220","2,133","429,613","6,347",69,8,207,4,531,14,0,0,"1,260",31,"3,203",60,405,9,"1,402",29,224,6,15,0,189,5,20,1,102,3,17,0,45,1,5,0,31,1,5,0,"3,566,120","58,672",Barren
93,38,1,"2,309",551,"2,409",608,"8,217","1,445","101,943","1,997","424,118","9,768","2,944",703,219,4,478,10,2,0,"1,181",29,"3,227",91,371,9,"1,384",29,216,4,14,0,169,4,20,0,95,3,17,0,43,1,6,0,31,1,5,0,"3,323,160","55,921",Barren
94,33,2,95,2,5,0,"3,958",156,"110,667","1,976","455,864","8,530",172,7,243,4,281,18,1,0,968,63,"2,228",153,236,17,799,57,120,9,12,1,99,7,10,1,51,4,10,1,24,2,3,0,19,1,3,0,"3,351,190","37,777",Barren
95,96,4,91,2,3,1,"3,901",110,"103,107","1,205","445,791","4,856",135,5,243,3,584,23,0,0,"1,632",44,"3,875",118,438,14,"1,585",64,264,11,19,0,221,9,25,1,122,5,21,1,53,2,6,0,37,1,6,0,"3,370,210","26,052",Barren
96,44,2,102,1,2,0,-851,250,"103,691","1,105","434,127","4,076",148,5,240,3,389,15,1,0,"1,348",48,"3,285",129,368,15,"1,261",55,184,8,16,1,146,6,16,1,74,3,13,1,35,1,4,0,25,1,4,0,"3,483,030","24,384",Barren
97,131,2,"1,424",338,"1,230",296,"12,508",740,"127,781","1,592","443,213","5,236","1,834",396,232,3,848,11,1,0,"1,710",29,"4,310",66,555,8,"2,109",37,381,7,20,0,300,6,34,1,169,3,30,1,76,1,9,0,50,1,7,0,"3,387,340","30,082",Barren
98,61,5,174,63,"67,040","28,047","98,079","45,382","129,285","4,166","426,417","6,389",867,222,403,83,468,34,37,15,"1,293",80,"2,891",176,350,24,"1,215",76,204,14,16,1,169,10,19,1,92,6,17,1,45,3,5,0,31,2,5,0,"3,081,200","115,764",Barren
99,51,3,134,19,926,251,"5,560",548,"144,767","1,826","451,138","5,026",585,46,232,4,476,15,6,1,"1,282",43,"2,999",118,362,15,"1,287",47,212,8,16,1,171,6,19,1,89,3,16,1,43,1,5,0,30,1,5,0,"3,283,570","38,815",Barren
100,78,3,114,14,75,15,"3,492",139,"155,601","2,036","453,220","5,549",745,78,215,3,609,20,2,1,"1,589",51,"3,741",102,445,14,"1,585",47,260,9,19,1,207,7,23,1,115,3,21,1,52,2,6,0,38,1,6,0,"3,338,010","32,065",Barren
101,30,1,79,2,3,0,"3,144",294,"157,352","3,461","443,287","7,384",620,35,219,6,301,11,0,0,923,42,"2,108",49,238,6,806,18,134,7,12,0,100,5,11,0,52,3,10,0,26,1,3,0,20,1,4,0,"3,313,900","36,826",Barren
102,50,2,71,2,41,14,"3,717",156,"160,077","3,054","422,384","5,807","1,091",176,219,4,393,11,1,0,"1,369",36,"2,743",89,283,11,834,25,130,4,16,1,108,3,12,0,60,2,12,0,31,1,4,0,27,1,5,0,"3,549,570","49,809",Barren
103,43,6,868,405,314,133,"2,215",738,"169,827","5,011","430,034","12,706","3,571","1,352",214,6,299,36,0,0,"1,120",143,"2,634",351,263,34,858,112,131,17,14,2,97,13,10,1,47,6,9,1,23,3,3,0,18,2,3,0,"3,416,300","75,717",Barren
104,56,3,"5,450",910,"2,685",370,"16,031","2,144","134,573","2,911","448,308","6,312","32,455","4,720",212,5,395,22,199,25,"1,308",77,"2,566",117,253,13,838,43,130,6,15,1,98,5,12,1,65,3,13,1,33,1,5,0,30,1,5,0,"3,036,000","42,601",Barren
105,3,0,286,37,"1,318",447,"3,545",664,"128,619","2,301","426,971","8,411","2,242",263,755,56,140,3,9,3,143,8,323,27,36,4,138,15,31,3,15,0,33,3,5,0,26,1,5,0,13,0,2,0,11,1,1,0,"3,135,590","76,715",PCD
106,0,0,96,33,"2,053",708,"4,925",939,"126,698","3,255","441,999","9,473","1,056",282,202,5,280,31,5,2,128,8,445,21,71,3,315,16,82,5,15,2,77,5,10,1,51,4,10,1,24,3,3,0,18,2,2,0,"3,278,880","63,670",PCD
107,7,0,93,2,1,0,"1,490",176,"119,069","1,792","417,741","6,554",604,38,179,3,269,6,0,0,23,0,113,2,22,0,122,3,68,2,40,1,83,2,14,0,77,2,12,0,23,0,3,0,15,0,2,0,"3,474,010","37,788",PCD
108,7,0,246,11,295,66,"1,517",182,"116,730","1,429","439,745","5,426","1,573",110,"1,117",75,154,5,4,1,210,16,349,22,35,1,124,3,29,1,21,1,34,2,5,0,30,1,6,0,16,0,2,0,13,0,2,0,"3,232,590","32,486",PCD
109,4,1,196,27,57,12,"2,658",240,"113,323","2,960","451,736","9,464",512,103,896,114,108,8,1,0,93,9,220,11,26,1,109,6,28,3,14,1,27,2,4,0,23,2,4,0,9,1,1,0,7,1,1,0,"3,298,840","57,826",PCD
110,110,23,"521,156","137,997","11,072,100","2,818,740","14,077,500","3,580,990","104,784","4,011","434,155","19,802","3,994,980","1,000,940",715,84,175,7,"69,648","17,382",215,33,639,100,66,18,153,15,47,6,26,3,54,5,13,2,37,3,5,0,19,3,1,0,11,1,1,0,"979,921","125,191",PCD
111,387,127,"1,178,660","343,328","25,206,800","7,571,610","26,995,800","7,971,900","144,342","18,361","402,239","9,820","27,873,300","8,037,090",748,150,267,30,"195,958","60,113",42,7,150,25,25,5,95,15,22,4,21,5,99,18,8,1,36,7,10,3,23,11,1,0,16,8,1,0,"267,176","71,666",PCD
112,5,0,226,19,953,405,"3,641",629,"110,311","2,002","440,586","8,518","13,358","2,079",719,98,199,15,6,2,131,16,266,24,31,2,127,6,36,3,20,1,48,5,8,1,44,4,8,1,18,1,2,0,14,1,2,0,"3,116,150","82,925",PCD
113,10,0,84,1,1,0,"3,983",194,"118,489","2,653","443,466","8,936","-8,717",536,462,11,"1,270",26,3,0,"1,569",20,"4,337",83,574,13,"2,298",36,447,7,22,0,389,8,50,1,265,5,48,1,114,3,13,0,62,1,8,0,"3,405,720","49,194",Barren
114,14,0,"1,834",535,"2,032",595,"4,454",575,"121,580","1,783","441,125","9,067","-19,523","4,723",434,7,"1,303",24,6,1,"1,592",34,"4,218",71,566,11,"2,302",39,458,7,23,0,418,7,52,1,285,6,52,1,125,2,13,0,68,1,9,0,"3,228,930","39,985",Barren
115,52,1,102,9,29,7,"4,020",194,"125,592","1,848","454,696","5,453","-2,372",163,370,5,761,11,2,0,"1,622",24,"4,138",58,499,6,"1,702",20,282,4,19,0,232,3,27,0,147,2,28,1,75,1,9,0,57,1,9,0,"3,271,440","34,783",Barren
116,55,1,79,11,50,21,"3,380",195,"121,869","1,813","450,450","5,809","-1,323",132,338,5,829,9,1,0,"1,372",30,"3,547",69,418,7,"1,625",23,268,4,22,0,227,3,28,0,156,2,30,0,81,1,10,0,61,1,9,0,"3,370,010","33,561",Barren
117,36,2,"67,345","10,526","43,538","8,167","323,030","51,696","92,804","6,098","418,163","6,055","-226,351","34,935",234,13,498,30,54,17,627,47,"1,579",112,194,12,746,42,141,8,13,1,124,8,14,1,85,6,17,1,45,3,6,1,38,3,7,1,"2,140,310","153,742",Barren
118,93,7,129,6,70,17,"4,229",447,"121,215","1,742","449,233","7,579","-1,493",122,351,6,"1,088",62,5,1,"1,689",51,"4,299",216,552,27,"1,908",87,343,18,32,2,292,18,38,3,195,11,39,2,110,7,15,1,91,6,13,1,"3,280,800","45,513",Barren
119,35,1,75,2,17,6,"2,903",206,"119,666","1,968","475,011","9,228",-362,17,365,6,732,22,1,0,"2,042",52,"4,778",84,544,14,"1,756",33,287,6,14,0,229,6,26,0,142,3,26,1,71,1,9,0,53,2,8,0,"3,125,400","61,005",Barren
120,41,2,43,1,17,8,"3,343",247,"118,209","2,471","444,025","7,105",-289,16,344,7,661,18,2,0,"1,534",46,"3,830",108,450,13,"1,597",52,240,6,15,0,194,6,23,1,119,4,22,1,59,2,7,0,44,2,6,0,"3,267,150","43,303",Barren
121,23,1,68,2,5,3,"1,721",195,"106,532","2,057","436,608","7,636",-435,27,355,8,425,13,1,0,"1,141",43,"2,705",91,303,10,"1,037",32,159,5,11,0,134,4,15,0,81,3,15,0,40,1,5,0,31,1,4,0,"3,274,280","51,678",Barren
122,33,3,115,27,19,5,"3,430",271,"113,401","1,819","448,278","6,305",-518,58,336,7,538,30,1,0,"1,082",74,"2,698",195,322,21,"1,100",60,171,9,14,1,151,8,17,1,99,5,20,1,50,3,6,0,41,3,6,0,"3,173,370","48,187",Barren
123,20,1,134,15,4,4,"3,659",239,"104,093","2,980","424,884","8,638","-1,010",56,374,8,569,17,2,1,"1,742",54,"4,246",98,486,17,"1,607",55,230,5,15,0,182,5,20,1,111,2,21,1,54,2,7,0,45,2,7,0,"3,288,790","61,137",Barren
124,47,3,270,66,839,163,"5,974",509,"110,756","1,839","468,109","9,731","-1,621",377,291,10,599,41,7,2,"1,429",121,"3,546",310,409,31,"1,374",106,218,17,13,1,167,11,20,1,108,7,23,1,57,4,8,0,49,3,7,0,"3,144,490","49,639",Barren
125,9,1,105,14,86,22,"3,818",189,"111,757","1,408","440,920","5,932","1,499",249,320,5,371,9,4,1,846,133,"1,863",226,219,21,790,63,131,8,8,0,106,4,13,0,70,2,13,0,34,1,4,0,26,1,4,0,"3,216,180","35,846",Barren
126,10,1,70,15,25,12,"1,750",224,"118,556","1,969","429,784","7,245",421,121,328,8,392,7,2,1,584,75,"1,477",169,172,16,659,55,109,5,7,0,104,3,13,0,69,2,13,0,37,1,4,0,27,1,4,0,"3,296,240","58,263",Barren
127,18,0,45,1,1,0,"4,902",229,"123,029","1,807","437,846","8,506",285,30,348,7,459,10,1,0,"1,161",20,"2,717",49,325,5,"1,123",21,174,4,11,0,142,3,16,0,90,2,17,0,43,1,6,0,34,1,4,0,"3,265,840","45,216",Barren
128,12,0,54,1,9,5,"4,353",266,"121,077","2,192","459,460","9,483",197,14,346,7,404,9,2,0,"1,844",193,"4,000",350,441,35,"1,387",97,187,9,10,0,147,5,15,0,80,1,15,0,39,1,5,0,28,1,4,0,"3,129,480","44,577",Barren
129,15,0,54,2,3,0,"3,752",215,"131,832","2,471","467,678","9,645",246,14,350,8,417,8,1,0,"1,172",31,"2,920",60,314,6,"1,099",27,165,4,9,0,127,3,15,0,75,2,15,0,39,1,5,0,27,1,4,0,"3,166,110","47,890",Barren
130,51,2,133,6,20,17,"3,151",314,"120,517","2,911","444,762","7,219",602,36,378,8,963,44,1,0,"2,706",106,"6,728",276,754,29,"2,572",112,377,17,22,1,291,13,35,2,198,10,35,2,95,5,12,1,79,4,11,1,"3,244,920","56,227",Barren
131,44,4,129,4,20,9,"3,058",231,"126,668","2,610","439,914","12,025",519,19,345,9,778,41,2,0,"2,315",86,"5,249",172,569,27,"2,002",96,286,15,17,1,238,11,27,1,142,8,27,1,74,4,9,1,56,3,8,1,"3,319,730","49,898",Barren
132,6,0,55,7,331,75,"3,519",163,"120,358","1,918","455,017","6,038",684,110,312,7,479,27,4,1,171,6,715,27,104,6,491,30,112,7,4,0,108,7,15,1,83,5,17,1,45,2,5,0,31,2,5,0,"3,147,900","33,224",Barren
133,3,0,271,53,619,143,"2,993",315,"111,978","1,412","448,046","9,846","1,862",314,304,6,109,8,5,1,50,4,175,10,26,2,114,6,25,2,3,0,27,2,3,0,16,1,4,0,11,1,1,0,8,1,1,0,"3,379,520","43,921",Barren
134,26,10,37,1,12,2,"1,360",302,"112,098","2,026","474,908","11,437","13,820","5,786",278,5,427,42,1,0,233,29,870,109,118,16,474,54,97,10,7,0,85,7,12,1,74,7,16,1,43,4,6,1,36,3,5,0,"3,161,310","52,160",Barren
135,30,1,62,2,10,4,"2,239",183,"110,816","1,892","436,838","6,933","1,955","21,700",364,8,523,10,3,0,"1,608",34,"3,829",66,418,6,"1,443",21,214,4,11,0,181,4,21,0,104,2,19,0,49,1,6,0,37,1,5,0,"3,246,280","46,089",Barren
136,29,1,90,8,53,20,"3,062",290,"100,889","2,004","429,870","8,920","-2,542",433,332,8,486,12,3,1,"1,597",36,"3,771",75,403,7,"1,349",26,201,4,11,0,156,3,20,0,100,2,18,0,46,1,6,0,36,1,5,0,"3,332,160","49,253",Barren
137,26,0,63,3,2,0,"3,164",190,"101,801","3,242","464,614","9,424",-487,40,327,8,500,12,1,0,"1,561",36,"3,467",61,412,9,"1,326",35,195,5,10,0,163,4,20,1,100,2,19,1,47,1,6,0,32,1,5,0,"3,307,530","61,172",Barren
138,77,9,349,35,667,153,"3,811",235,"127,757","1,606","446,396","5,320",773,27,212,3,710,35,1,0,107,7,363,21,61,4,336,18,148,8,23,1,187,10,30,2,166,8,29,1,71,4,9,0,55,3,7,0,"3,384,020","31,984",PCD
139,56,4,270,16,87,27,"2,756",186,"130,714","2,256","444,811","6,590","1,232",55,255,4,470,30,0,0,76,4,239,14,40,2,188,10,82,4,15,1,101,5,18,1,107,7,19,1,49,3,6,0,39,3,5,0,"3,487,310","38,478",PCD
140,134,18,290,7,1,0,905,204,"135,945","2,780","453,163","10,441","1,702",73,233,5,505,12,0,0,72,2,242,8,40,1,220,5,98,3,18,0,134,3,22,1,123,3,22,1,53,1,6,0,39,1,5,0,"3,300,940","43,290",PCD
141,37,2,253,6,6,2,933,239,"146,698","3,371","447,596","8,930","2,500",79,237,6,489,12,0,0,70,2,235,6,41,1,204,6,91,2,19,1,121,3,20,0,113,3,20,0,47,1,6,0,37,1,5,0,"3,252,110","52,947",PCD
142,14,1,"7,550","2,937","101,400","43,952","126,744","46,488","119,167","4,239","437,541","7,799","65,995","25,190",234,8,411,7,"1,014",403,76,3,221,6,38,1,194,7,85,3,21,1,104,3,18,1,96,3,17,0,39,1,5,0,26,2,3,0,"1,732,570","235,853",PCD
143,17,2,265,11,2,0,-300,177,"138,118","2,797","428,484","8,349","-34,195","6,967",259,5,459,17,0,0,65,2,217,8,35,1,174,6,74,2,17,0,106,3,17,1,103,3,18,1,42,2,6,0,38,2,5,0,"3,332,850","50,035",PCD
144,25,2,531,123,"3,020","1,721","9,417","2,052","151,616","3,289","448,528","7,522","-3,279",343,217,4,498,14,49,26,93,2,282,8,42,1,210,7,89,2,17,0,122,4,21,1,117,3,20,1,50,2,7,0,41,1,5,0,"3,318,260","56,048",PCD
145,45,3,334,9,1,0,"3,834",275,"161,054","2,938","423,915","7,117","-3,395",110,181,6,"2,027",75,0,0,239,9,973,44,173,7,966,46,406,16,42,1,498,18,85,3,494,18,85,3,229,9,28,1,179,7,24,1,"3,367,460","46,003",PCD
146,34,3,367,18,1,1,-158,168,"159,970","4,565","459,453","13,069","-3,888",263,186,9,"1,625",123,0,0,190,17,821,74,153,14,832,75,320,26,33,1,375,29,63,5,363,27,66,5,175,15,23,2,132,11,17,1,"3,238,800","61,754",PCD
147,24,2,290,21,48,13,"1,805",200,"166,523","3,839","471,563","14,657","-3,727",302,219,10,"1,124",109,0,0,136,13,522,50,97,10,511,53,231,22,36,1,290,28,47,5,271,27,48,5,112,13,15,2,92,11,12,2,"3,293,310","62,329",PCD
148,23,1,"2,613","1,413","18,977","11,993","42,295","23,252","158,296","2,084","430,343","4,814","-13,548","3,031",240,40,"1,520",41,52,25,188,8,747,31,140,5,749,25,302,8,31,1,352,10,56,1,333,10,58,2,160,4,21,1,124,3,17,0,"3,214,070","43,889",PCD
149,14,1,"25,587","7,290","181,847","54,687","380,721","117,051","158,075","3,547","440,422","4,951","340,375","101,725",462,98,845,52,82,21,110,6,437,27,78,5,417,27,164,11,21,1,197,12,32,2,193,12,31,2,88,6,11,1,72,5,10,1,"2,578,460","145,200",PCD
150,27,2,365,5,2,0,"3,858",138,"193,299","2,437","448,866","5,598","7,049",158,174,3,"1,156",34,0,0,146,5,576,17,106,3,586,15,242,6,24,1,290,7,47,1,270,7,47,1,115,3,15,0,91,3,12,0,"3,279,280","31,047",PCD
151,16,1,326,9,2,0,"1,322",210,"198,210","4,140","426,197","5,816","6,963",244,209,3,612,14,1,0,98,3,299,5,45,1,215,4,87,2,16,0,123,2,21,0,137,3,24,1,63,1,9,0,54,1,8,0,"3,477,700","36,733",PCD
152,45,4,299,5,3,0,880,150,"201,861","3,022","453,412","7,058","7,266",183,195,3,869,34,0,0,103,3,384,12,70,2,381,13,170,6,22,1,216,7,37,1,213,7,35,1,89,3,11,0,66,3,9,0,"3,223,640","38,127",PCD
153,38,3,277,8,6,3,"1,296",197,"190,618","4,238","453,112","8,940","8,336",343,208,4,866,26,0,0,135,6,456,22,79,4,406,17,150,5,21,1,186,6,33,1,195,7,35,1,84,3,11,0,75,4,9,0,"3,350,790","42,696",PCD
154,18,2,365,7,5,2,"1,630",232,"199,841","4,092","431,888","11,381","13,059",378,186,5,"1,361",79,0,0,188,8,792,38,131,8,735,43,278,15,28,1,316,14,51,3,319,16,57,3,140,8,20,1,130,5,17,1,"3,446,240","60,814",PCD
155,34,4,421,51,650,478,874,595,"190,044","2,540","432,442","6,184","14,211",806,164,3,937,25,6,4,109,3,461,15,85,3,475,16,190,5,21,0,238,6,39,1,231,5,38,1,95,3,12,0,73,2,9,0,"3,370,850","41,656",PCD
156,25,3,325,9,35,7,915,191,"158,517","2,672","436,880","7,953","11,007",420,184,5,888,61,0,0,102,8,407,31,71,6,376,30,159,13,20,1,194,14,36,3,194,13,33,2,79,5,10,1,62,4,9,0,"3,350,370","54,387",PCD
157,37,2,457,39,712,176,"2,981",314,"158,195","2,720","430,990","7,784","9,466",270,190,4,879,39,0,0,107,4,442,19,79,4,435,21,185,9,23,1,219,9,39,2,217,9,37,2,87,4,11,1,69,3,9,0,"3,194,320","42,638",PCD
158,53,6,299,12,1,0,"1,506",220,"146,627","3,657","439,076","8,967","6,838",206,235,7,702,38,0,0,94,5,333,19,55,3,277,15,131,9,22,1,167,10,27,1,167,10,28,2,71,4,9,1,57,4,8,1,"3,362,270","49,147",PCD
159,44,2,293,8,28,10,"1,241",240,"138,617","3,432","439,664","9,550","6,746",287,196,6,635,31,0,0,68,2,273,13,46,2,234,12,104,6,18,0,143,6,26,1,142,5,26,1,63,3,7,0,47,2,7,0,"3,467,510","47,567",PCD
160,22,1,265,10,"2,654",906,"9,827","2,428","131,601","1,430","428,509","3,623","5,942",292,183,3,"1,319",58,87,31,174,9,809,46,146,8,828,45,279,13,26,1,294,12,49,2,289,13,51,2,132,6,18,1,118,6,16,1,"3,342,910","35,715",PCD
161,12,1,351,39,84,41,"1,427",218,"127,992","1,631","448,351","5,489","5,364",156,178,2,"1,012",54,0,0,127,7,676,38,128,7,722,40,248,13,23,1,248,12,40,2,227,13,39,2,97,5,14,1,94,5,13,1,"3,263,940","30,302",PCD
162,16,1,639,86,"1,600",305,"4,893",542,"108,638","1,256","435,763","4,351","2,842",132,205,3,903,50,0,0,127,18,515,49,101,8,519,37,193,12,20,1,217,11,36,2,205,11,35,2,93,5,11,1,71,4,9,1,"3,127,370","32,144",PCD
163,97,5,305,7,11,11,"1,192",157,"106,372","2,802","406,987","7,003","3,050",95,194,7,"1,069",108,1,0,98,2,350,13,61,2,327,13,150,5,21,1,226,8,37,2,203,16,41,3,99,9,14,1,84,9,12,1,"3,404,510","51,590",PCD
164,61,5,331,6,14,3,"1,970",150,"102,161","1,767","422,156","5,300","2,598",68,171,3,"1,076",48,0,0,197,22,747,73,124,9,642,46,259,14,25,1,292,13,48,2,267,13,46,3,112,6,14,1,82,4,11,1,"3,346,950","36,491",PCD
165,61,4,352,10,25,8,"2,184",192,"103,730","2,098","416,100","6,249","1,898",64,169,3,883,27,0,0,165,13,623,40,106,7,521,29,204,9,21,1,234,9,39,1,207,6,37,1,90,3,11,0,70,2,9,0,"3,391,420","52,735",PCD
166,26,1,261,6,1,0,"1,205",238,"108,637","1,559","429,185","6,417","1,269",45,202,4,754,22,0,0,97,4,370,11,62,2,333,9,132,3,19,0,169,2,31,1,176,6,30,1,74,2,10,0,62,2,8,0,"3,306,090","46,716",PCD
167,30,1,356,15,9,4,"1,658",202,"105,018","2,664","436,251","10,546","1,148",42,180,6,928,30,0,0,129,6,515,24,87,4,497,21,188,8,22,1,229,8,37,1,221,7,38,1,97,3,13,0,79,3,10,0,"3,266,800","68,827",PCD
168,19,2,516,115,603,256,551,714,"108,198","1,727","428,273","5,578",255,17,179,3,"1,241",57,1,0,146,6,655,30,122,6,642,30,231,11,19,1,276,12,44,2,254,11,52,2,127,5,17,1,102,5,14,1,"3,200,470","40,690",PCD
169,12,1,167,12,5,1,"1,604",169,"113,521","2,024","446,706","6,142",179,17,185,5,849,67,0,0,155,30,605,92,101,12,474,48,177,15,14,1,205,18,34,3,187,16,35,3,93,8,12,1,72,6,9,1,"3,205,300","34,807",PCD
170,37,3,491,52,"1,268",401,"2,736",457,"111,729","1,426","439,123","4,523",326,10,172,3,941,81,4,3,98,2,389,10,71,2,363,13,161,5,20,0,221,10,34,2,196,12,36,3,93,9,13,1,73,8,11,2,"3,113,300","29,280",PCD
171,0,0,54,6,17,7,"1,643",222,"105,874","2,468","405,042","12,306",13,4,204,6,601,41,0,0,35,1,161,5,27,1,157,3,62,2,10,0,97,4,15,1,100,6,21,1,59,4,8,1,45,4,5,0,"3,301,820","80,512",PCD
172,7,0,204,11,34,23,"1,480",246,"102,109","2,804","410,931","8,898",134,6,229,9,324,8,0,0,49,2,168,6,26,1,122,5,48,1,12,0,69,2,12,0,72,2,13,0,30,1,4,0,27,1,4,0,"3,380,700","45,384",PCD
173,58,2,317,6,2,0,"1,920",177,"111,117","1,655","437,715","6,885",261,7,236,4,673,14,0,0,82,1,287,5,44,1,205,3,98,2,17,0,144,3,25,1,151,3,26,1,68,2,8,0,51,1,7,0,"3,148,300","44,182",PCD
174,89,5,295,6,5,2,"3,655",187,"111,177","1,485","424,104","5,072",383,6,253,4,606,8,0,0,75,1,249,3,40,1,183,3,79,1,16,0,110,2,20,0,121,2,22,0,60,1,8,0,49,1,7,0,"3,235,430","33,255",PCD
175,33,5,305,9,4,0,"4,695",193,"114,116","1,830","439,444","10,696",531,15,218,7,716,56,0,0,70,2,246,9,38,1,193,8,96,5,18,1,153,9,26,2,164,12,27,2,70,6,9,1,55,5,7,1,"3,166,500","47,909",PCD
176,37,1,317,8,5,1,"3,234",141,"113,088","1,634","446,825","7,119",691,20,219,4,556,11,0,0,72,1,247,4,38,1,183,4,82,1,16,0,121,2,22,0,123,2,22,0,58,1,7,0,43,1,6,0,"3,127,520","27,463",PCD
177,102,5,355,7,2,0,-683,213,"109,610","2,099","471,080","7,226","1,177",39,259,5,769,14,0,0,84,1,258,5,42,1,205,4,99,2,18,0,139,3,26,1,164,5,29,1,76,2,10,0,58,1,8,0,"3,099,690","31,161",PCD